name,id,votes,percent,candidate,party
Orléans,35076,6215,8%,Nancy Tremblay,NPD-Nouveau Parti Démocratique
Orléans,35076,23821,30.5%,Royal Galipeau,Conservateur
Orléans,35076,46542,59.7%,Andrew Leslie,Libéral
Ottawa South/Ottawa-Sud,35077,136,0.2%,Larry Wasslen,Communiste
Ottawa South/Ottawa-Sud,35077,237,0.4%,Damien Wilson,Libertarien
Ottawa South/Ottawa-Sud,35077,366,0.6%,Al Gullon,Parti PC
Ottawa South/Ottawa-Sud,35077,1888,2.9%,John Redins,Parti Vert
Ottawa South/Ottawa-Sud,35077,7480,11.6%,George Brown,NPD-Nouveau Parti Démocratique
Ottawa South/Ottawa-Sud,35077,15711,24.3%,Dev Balkissoon,Conservateur
Ottawa South/Ottawa-Sud,35077,38831,60.1%,David McGuinty,Libéral
Ottawa--Vanier,35078,128,0.2%,Christian Legeais,Marxiste-Léniniste
Ottawa--Vanier,35078,503,0.8%,Coreen Corcoran,Libertarien
Ottawa--Vanier,35078,1947,3.1%,Nira Dookeran,Parti Vert
Ottawa--Vanier,35078,12109,19.1%,David Piccini,Conservateur
Ottawa--Vanier,35078,12194,19.2%,Emilie Taman,NPD-Nouveau Parti Démocratique
Ottawa--Vanier,35078,36474,57.6%,Mauril Bélanger,Libéral
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,114,0.2%,Sam Heaton,Marxiste-Léniniste
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,740,1.2%,Rod Taylor,Parti de l'Héritage Chrétien
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,1772,2.8%,Mark Brooks,Parti Vert
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,6195,9.8%,Marlene Rivier,NPD-Nouveau Parti Démocratique
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,18893,30%,Abdul Abdi,Conservateur
Ottawa West--Nepean/Ottawa-Ouest--Nepean,35079,35199,55.9%,Anita Vandenbeld,Libéral
Oxford,35080,1175,2.1%,Melody Ann Aldred,Parti de l'Héritage Chrétien
Oxford,35080,2004,3.5%,Mike Farlow,Parti Vert
Oxford,35080,9406,16.5%,Zoe Kunschner,NPD-Nouveau Parti Démocratique
Oxford,35080,18299,32.2%,Don McKay,Libéral
Oxford,35080,25966,45.7%,Dave MacKenzie,Conservateur
Parkdale--High Park,35081,93,0.2%,Carol Royer,Indépendant
Parkdale--High Park,35081,100,0.2%,Lorne Gershuny,Marxiste-Léniniste
Parkdale--High Park,35081,191,0.3%,Terry Parker,Radical Marijuana
Parkdale--High Park,35081,610,1%,Mark Jeftovic,Libertarien
Parkdale--High Park,35081,1743,3%,Adam Phipps,Parti Vert
Parkdale--High Park,35081,7641,13%,Ian Allen,Conservateur
Parkdale--High Park,35081,23566,40.2%,Peggy Nash,NPD-Nouveau Parti Démocratique
Parkdale--High Park,35081,24623,42%,Arif Virani,Libéral
Parry Sound--Muskoka,35082,40,0.1%,Albert Gray Smith,Marxiste-Léniniste
Parry Sound--Muskoka,35082,88,0.2%,Gordie Merton,PAC
Parry Sound--Muskoka,35082,121,0.2%,Duncan Bell Pirate,Pirate
Parry Sound--Muskoka,35082,3704,7.2%,Glen Hodgson,Parti Vert
Parry Sound--Muskoka,35082,5183,10.1%,Matt McCarthy,NPD-Nouveau Parti Démocratique
Parry Sound--Muskoka,35082,19937,38.9%,Trisha Cowie,Libéral
Parry Sound--Muskoka,35082,22206,43.3%,Tony Clement,Conservateur
Perth--Wellington,35083,219,0.4%,Roger Fuhr,Aucune appartenance
Perth--Wellington,35083,794,1.5%,Irma DeVries,Parti de l'Héritage Chrétien
Perth--Wellington,35083,1347,2.6%,Nicole Ramsdale,Parti Vert
Perth--Wellington,35083,7756,15%,Ethan Rabidoux,NPD-Nouveau Parti Démocratique
Perth--Wellington,35083,19480,37.6%,Stephen McCotter,Libéral
Perth--Wellington,35083,22255,42.9%,John Nater,Conservateur
Peterborough--Kawartha,35084,131,0.2%,Toban Leckie,Forces et Démocratie - Allier les forces de nos régions
Peterborough--Kawartha,35084,1480,2.2%,Doug Mason,Parti Vert
Peterborough--Kawartha,35084,12437,18.7%,Dave Nickle,NPD-Nouveau Parti Démocratique
Peterborough--Kawartha,35084,23335,35.1%,Michael Skinner,Conservateur
Peterborough--Kawartha,35084,29159,43.8%,Maryam Monsef,Libéral
Pickering--Uxbridge,35085,1365,2.3%,Anthony Jordan Navarro,Parti Vert
Pickering--Uxbridge,35085,5446,9.2%,Pamela Downward,NPD-Nouveau Parti Démocratique
Pickering--Uxbridge,35085,22591,38.2%,Corneliu Chisu,Conservateur
Pickering--Uxbridge,35085,29757,50.3%,Jennifer O'Connell,Libéral
Renfrew--Nipissing--Pembroke,35086,1105,1.9%,Stefan Klietsch,Parti Vert
Renfrew--Nipissing--Pembroke,35086,4893,8.6%,Dan McCarthy,NPD-Nouveau Parti Démocratique
Renfrew--Nipissing--Pembroke,35086,6300,11%,Hector Clouthier,Indépendant
Renfrew--Nipissing--Pembroke,35086,18666,32.7%,Jeff Lehoux,Libéral
Renfrew--Nipissing--Pembroke,35086,26195,45.8%,Cheryl Gallant,Conservateur
Richmond Hill,35087,856,1.7%,Gwendolyn Veenema,Parti Vert
Richmond Hill,35087,3950,8%,Adam DeVita,NPD-Nouveau Parti Démocratique
Richmond Hill,35087,21275,43.3%,Michael Parsa,Conservateur
Richmond Hill,35087,23032,46.9%,Majid Jowhari,Libéral
Carleton,35088,1932,3.3%,Deborah Coyne,Parti Vert
Carleton,35088,3632,6.1%,Kc Larocque,NPD-Nouveau Parti Démocratique
Carleton,35088,25913,43.7%,Chris Rodgers,Libéral
Carleton,35088,27762,46.9%,Pierre Poilievre,Conservateur
St. Catharines,35089,85,0.1%,Saleh Waziruddin,Communiste
St. Catharines,35089,1488,2.6%,Jim Fannon,Parti Vert
St. Catharines,35089,9511,16.5%,Susan Erskine-Fournier,NPD-Nouveau Parti Démocratique
St. Catharines,35089,21637,37.6%,Rick Dykstra,Conservateur
St. Catharines,35089,24870,43.2%,Chris Bittle,Libéral
Toronto--St. Paul's,35090,1729,3%,Kevin Farmer,Parti Vert
Toronto--St. Paul's,35090,8386,14.7%,Noah Richler,NPD-Nouveau Parti Démocratique
Toronto--St. Paul's,35090,15376,27%,Marnie MacDougall,Conservateur
Toronto--St. Paul's,35090,31481,55.3%,Carolyn Bennett,Libéral
Sarnia--Lambton,35091,1605,2.8%,Peter Smith,Parti Vert
Sarnia--Lambton,35091,15853,27.3%,Dave McPhail,Libéral
Sarnia--Lambton,35091,18102,31.1%,Jason Wayne McMichael,NPD-Nouveau Parti Démocratique
Sarnia--Lambton,35091,22565,38.8%,Marilyn Gladu,Conservateur
Sault Ste. Marie,35092,83,0.2%,Mike Taffarel,Marxiste-Léniniste
Sault Ste. Marie,35092,934,2.1%,Kara Flannigan,Parti Vert
Sault Ste. Marie,35092,9543,21.8%,Skip Morrison,NPD-Nouveau Parti Démocratique
Sault Ste. Marie,35092,13615,31.1%,Bryan Hayes,Conservateur
Sault Ste. Marie,35092,19582,44.8%,Terry Sheehan,Libéral
Scarborough--Agincourt,35093,334,0.8%,Jude Coutinho,Parti de l'Héritage Chrétien
Scarborough--Agincourt,35093,570,1.4%,Debra Scott,Parti Vert
Scarborough--Agincourt,35093,3263,7.9%,Laura Patrick,NPD-Nouveau Parti Démocratique
Scarborough--Agincourt,35093,15802,38%,Bin Chang,Conservateur
Scarborough--Agincourt,35093,21587,51.9%,Arnold Chan,Libéral
Scarborough Centre/Scarborough-Centre,35094,960,2.1%,Lindsay Thompson,Parti Vert
Scarborough Centre/Scarborough-Centre,35094,1384,3.1%,Katerina Androutsos,Libertarien
Scarborough Centre/Scarborough-Centre,35094,5227,11.6%,Alex Wilson,NPD-Nouveau Parti Démocratique
Scarborough Centre/Scarborough-Centre,35094,14705,32.7%,Roxanne James,Conservateur
Scarborough Centre/Scarborough-Centre,35094,22753,50.5%,Salma Zahid,Libéral
Scarborough--Guildwood,35095,141,0.3%,Paul Coulbeck,Radical Marijuana
Scarborough--Guildwood,35095,175,0.4%,Kevin Clarke,Indépendant
Scarborough--Guildwood,35095,606,1.4%,Kathleen Holding,Parti Vert
Scarborough--Guildwood,35095,4720,11.3%,Laura Casselman,NPD-Nouveau Parti Démocratique
Scarborough--Guildwood,35095,11108,26.5%,Chuck Konkel,Conservateur
Scarborough--Guildwood,35095,25167,60%,John McKay,Libéral
Scarborough North/Scarborough-Nord,35096,156,0.4%,Aasia Khatoon,Indépendant
Scarborough North/Scarborough-Nord,35096,164,0.4%,Raphael Rosch,Indépendant
Scarborough North/Scarborough-Nord,35096,579,1.5%,Eleni MacDonald,Parti Vert
Scarborough North/Scarborough-Nord,35096,8648,22.1%,Rathika Sitsabaiesan,NPD-Nouveau Parti Démocratique
Scarborough North/Scarborough-Nord,35096,10737,27.4%,Ravinder Malhi,Conservateur
Scarborough North/Scarborough-Nord,35096,18904,48.2%,Shaun Chen,Libéral
Scarborough--Rouge Park,35097,1010,2%,Calvin Winter,Parti Vert
Scarborough--Rouge Park,35097,5145,10.4%,KM Shanthikumar,NPD-Nouveau Parti Démocratique
Scarborough--Rouge Park,35097,13587,27.4%,Leslyn Lewis,Conservateur
Scarborough--Rouge Park,35097,29913,60.2%,Gary Anandasangaree,Libéral
Scarborough Southwest/Scarborough-Sud-Ouest,35098,1259,2.6%,Tommy Taylor,Parti Vert
Scarborough Southwest/Scarborough-Sud-Ouest,35098,10347,21.2%,Roshan Nallaratnam,Conservateur
Scarborough Southwest/Scarborough-Sud-Ouest,35098,11574,23.7%,Dan Harris,NPD-Nouveau Parti Démocratique
Scarborough Southwest/Scarborough-Sud-Ouest,35098,25586,52.5%,Bill Blair,Libéral
Simcoe--Grey,35099,528,0.8%,Len Noordegraaf,Parti de l'Héritage Chrétien
Simcoe--Grey,35099,2923,4.4%,JoAnne Fleming,Parti Vert
Simcoe--Grey,35099,6332,9.6%,David Matthews,NPD-Nouveau Parti Démocratique
Simcoe--Grey,35099,25352,38.6%,Mike MacEachern,Libéral
Simcoe--Grey,35099,30612,46.6%,Kellie Leitch,Conservateur
Simcoe North/Simcoe-Nord,35100,319,0.6%,Scott Whittaker,Parti de l'Héritage Chrétien
Simcoe North/Simcoe-Nord,35100,618,1.1%,Jacob Kearey-Moreland,Aucune appartenance
Simcoe North/Simcoe-Nord,35100,2543,4.5%,Peter Stubbins,Parti Vert
Simcoe North/Simcoe-Nord,35100,6037,10.6%,Richard Banigan,NPD-Nouveau Parti Démocratique
Simcoe North/Simcoe-Nord,35100,22718,39.8%,Liz Riley,Libéral
Simcoe North/Simcoe-Nord,35100,24836,43.5%,Bruce Stanton,Conservateur
Spadina--Fort York,35101,59,0.1%,Nick Lin,Marxiste-Léniniste
Spadina--Fort York,35101,91,0.2%,Michael Nicula PACT,PRCT
Spadina--Fort York,35101,1137,2.1%,Sharon Danley,Parti Vert
Spadina--Fort York,35101,8673,15.7%,Sabrina Zuniga,Conservateur
Spadina--Fort York,35101,15047,27.3%,Olivia Chow,NPD-Nouveau Parti Démocratique
Spadina--Fort York,35101,30141,54.7%,Adam Vaughan,Libéral
Stormont--Dundas--South Glengarry,35102,1191,2.2%,Elaine Kennedy,Parti Vert
Stormont--Dundas--South Glengarry,35102,4332,8.2%,Patrick Burger,NPD-Nouveau Parti Démocratique
Stormont--Dundas--South Glengarry,35102,20452,38.5%,Bernadette Clement,Libéral
Stormont--Dundas--South Glengarry,35102,27091,51.1%,Guy Lauzon,Conservateur
Sudbury,35103,84,0.2%,J. David Popescu,Indépendant
Sudbury,35103,102,0.2%,Elizabeth Rowley,Communiste
Sudbury,35103,134,0.3%,Jean-Raymond Audet,Indépendant
Sudbury,35103,1509,3%,David Robinson,Parti Vert
Sudbury,35103,10473,21.1%,Fred Slade,Conservateur
Sudbury,35103,13793,27.8%,Paul Loewenberg,NPD-Nouveau Parti Démocratique
Sudbury,35103,23534,47.4%,Paul Lefebvre,Libéral
Thornhill,35104,157,0.3%,Margaret Leigh Fairbairn Seniors Party,Parti des aînés
Thornhill,35104,587,1.1%,Gene Balfour,Libertarien
Thornhill,35104,627,1.2%,Josh Rachlis,Parti Vert
Thornhill,35104,2814,5.2%,Lorne Cherry,NPD-Nouveau Parti Démocratique
Thornhill,35104,18395,33.8%,Nancy Coldham,Libéral
Thornhill,35104,31911,58.6%,Peter Kent,Conservateur
Thunder Bay--Rainy River,35105,2201,5.2%,Christy Radbourne,Parti Vert
Thunder Bay--Rainy River,35105,8876,21.1%,Moe Comuzzi,Conservateur
Thunder Bay--Rainy River,35105,12483,29.7%,John Rafferty,NPD-Nouveau Parti Démocratique
Thunder Bay--Rainy River,35105,18523,44%,Don Rusnak,Libéral
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,35106,270,0.6%,Robert Skaf,Indépendant
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,35106,6155,13.8%,Bruce Hyer,Parti Vert
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,35106,7775,17.4%,Richard Harvey,Conservateur
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,35106,10339,23.2%,Andrew Foulds,NPD-Nouveau Parti Démocratique
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,35106,20069,45%,Patty Hajdu,Libéral
Timmins--James Bay/Timmins--Baie James,35107,752,2%,Max Kennedy,Parti Vert
Timmins--James Bay/Timmins--Baie James,35107,7605,20.4%,John P. Curley,Conservateur
Timmins--James Bay/Timmins--Baie James,35107,12940,34.7%,Todd Lever,Libéral
Timmins--James Bay/Timmins--Baie James,35107,15974,42.9%,Charlie Angus,NPD-Nouveau Parti Démocratique
Toronto Centre/Toronto-Centre,35108,76,0.2%,Philip Fernandez,Marxiste-Léniniste
Toronto Centre/Toronto-Centre,35108,133,0.3%,Mariam Ahmad,Communiste
Toronto Centre/Toronto-Centre,35108,147,0.3%,Jordan Stone,Indépendant
Toronto Centre/Toronto-Centre,35108,1315,2.6%,Colin Biggin,Parti Vert
Toronto Centre/Toronto-Centre,35108,6167,12.2%,Julian Di Battista,Conservateur
Toronto Centre/Toronto-Centre,35108,13467,26.6%,Linda McQuaig,NPD-Nouveau Parti Démocratique
Toronto Centre/Toronto-Centre,35108,29297,57.9%,Bill Morneau,Libéral
Toronto--Danforth,35109,354,0.6%,Elizabeth Abbott,Environment Voters
Toronto--Danforth,35109,1275,2.3%,John Richardson,Parti PC
Toronto--Danforth,35109,2618,4.7%,Chris Tolley,Parti Vert
Toronto--Danforth,35109,5478,9.9%,Benjamin Dichter,Conservateur
Toronto--Danforth,35109,22325,40.2%,Craig Scott,NPD-Nouveau Parti Démocratique
Toronto--Danforth,35109,23531,42.3%,Julie Dabrusin,Libéral
University--Rosedale,35110,51,0.1%,Steve Rutchinski,Marxiste-Léniniste
University--Rosedale,35110,122,0.2%,David Berlin The Bridge,Le Lien
University--Rosedale,35110,125,0.2%,Drew Garvie,Communiste
University--Rosedale,35110,126,0.2%,Simon Luisi,Environment Voters
University--Rosedale,35110,233,0.4%,Jesse Waslowski,Libertarien
University--Rosedale,35110,1641,2.9%,Nick Wright,Parti Vert
University--Rosedale,35110,9790,17.5%,Karim Jivraj,Conservateur
University--Rosedale,35110,15988,28.6%,Jennifer Hollett,NPD-Nouveau Parti Démocratique
University--Rosedale,35110,27849,49.8%,Chrystia Freeland,Libéral
Vaughan--Woodbridge,35111,597,1.3%,Elise Boulanger,Parti Vert
Vaughan--Woodbridge,35111,716,1.5%,Anthony Gualtieri,Libertarien
Vaughan--Woodbridge,35111,2198,4.6%,Adriana Marie Zichy,NPD-Nouveau Parti Démocratique
Vaughan--Woodbridge,35111,20746,43.9%,Julian Fantino,Conservateur
Vaughan--Woodbridge,35111,23041,48.7%,Francesco Sorbara,Libéral
Waterloo,35112,138,0.2%,Emma Hawley-Yan,Environment Voters
Waterloo,35112,1713,2.9%,Richard Walsh,Parti Vert
Waterloo,35112,8928,14.9%,Diane Freeman,NPD-Nouveau Parti Démocratique
Waterloo,35112,19318,32.3%,Peter Braid,Conservateur
Waterloo,35112,29752,49.7%,Bardish Chagger,Libéral
Wellington--Halton Hills,35113,183,0.3%,Harvey Edward Anstey,PAC
Wellington--Halton Hills,35113,2547,4%,Brent Allan Bouteiller,Parti Vert
Wellington--Halton Hills,35113,5321,8.3%,Anne Gajerski-Cauley,NPD-Nouveau Parti Démocratique
Wellington--Halton Hills,35113,23279,36.5%,Don Trant,Libéral
Wellington--Halton Hills,35113,32482,50.9%,Michael Chong,Conservateur
Whitby,35114,279,0.4%,Jon O'Connor,Indépendant
Whitby,35114,1403,2.2%,Craig Cameron,Parti Vert
Whitby,35114,6677,10.3%,Ryan Kelly,NPD-Nouveau Parti Démocratique
Whitby,35114,27154,42.1%,Pat Perkins,Conservateur
Whitby,35114,29003,45%,Celina Caesar-Chavannes,Libéral
Willowdale,35115,216,0.5%,Birinder Singh Ahluwalia,Indépendant
Willowdale,35115,1025,2.2%,James Arruda,Parti Vert
Willowdale,35115,3203,7%,Pouyan Tabasinejad,NPD-Nouveau Parti Démocratique
Willowdale,35115,16990,37%,Chungsen Leung,Conservateur
Willowdale,35115,24519,53.4%,Ali Ehsassi,Libéral
Windsor--Tecumseh,35116,249,0.5%,Laura Chesnik,Marxiste-Léniniste
Windsor--Tecumseh,35116,1047,2%,David Momotiuk,Parti Vert
Windsor--Tecumseh,35116,14177,26.6%,Frank Schiller,Libéral
Windsor--Tecumseh,35116,14656,27.5%,Jo-Anne Gignac,Conservateur
Windsor--Tecumseh,35116,23215,43.5%,Cheryl Hardcastle,NPD-Nouveau Parti Démocratique
Windsor West/Windsor-Ouest,35117,161,0.3%,Margaret Villamizar,Marxiste-Léniniste
Windsor West/Windsor-Ouest,35117,1083,2.3%,Cora LaRussa,Parti Vert
Windsor West/Windsor-Ouest,35117,9734,20.8%,Henry Lau,Conservateur
Windsor West/Windsor-Ouest,35117,11842,25.2%,Dave Sundin,Libéral
Windsor West/Windsor-Ouest,35117,24085,51.3%,Brian Masse,NPD-Nouveau Parti Démocratique
York Centre/York-Centre,35118,772,1.8%,Constantine Kritsonis,Parti Vert
York Centre/York-Centre,35118,3148,7.3%,Hal Berman,NPD-Nouveau Parti Démocratique
York Centre/York-Centre,35118,18893,44%,Mark Adler,Conservateur
York Centre/York-Centre,35118,20131,46.9%,Michael Levitt,Libéral
York--Simcoe,35119,1483,3.1%,Mark Viitala,Parti Vert
York--Simcoe,35119,4255,8.9%,Sylvia Gerl,NPD-Nouveau Parti Démocratique
York--Simcoe,35119,18083,37.8%,Shaun Tanaka,Libéral
York--Simcoe,35119,24058,50.2%,Peter Van Loan,Conservateur
York South--Weston/York-Sud--Weston,35120,892,2%,John Johnson,Parti Vert
York South--Weston/York-Sud--Weston,35120,1041,2.4%,Stephen Lepone,Libertarien
York South--Weston/York-Sud--Weston,35120,8399,19.2%,James Robinson,Conservateur
York South--Weston/York-Sud--Weston,35120,13281,30.4%,Mike Sullivan,NPD-Nouveau Parti Démocratique
York South--Weston/York-Sud--Weston,35120,20093,46%,Ahmed Hussen,Libéral
Humber River--Black Creek,35121,201,0.6%,Christine Nugent,Marxiste-Léniniste
Humber River--Black Creek,35121,584,1.6%,Keith Jarrett,Parti Vert
Humber River--Black Creek,35121,3851,10.7%,Darnel Harris,NPD-Nouveau Parti Démocratique
Humber River--Black Creek,35121,7228,20.2%,Kerry Vandenberg,Conservateur
Humber River--Black Creek,35121,23995,66.9%,Judy Sgro,Libéral
Brandon--Souris,46001,2526,6.1%,David Neufeld,Parti Vert
Brandon--Souris,46001,2576,6.3%,Melissa Joy Wastasecoot,NPD-Nouveau Parti Démocratique
Brandon--Souris,46001,15338,37.3%,Jodi Wyman,Libéral
Brandon--Souris,46001,20666,50.3%,Larry Maguire,Conservateur
Charleswood--St. James--Assiniboia--Headingley,46002,1376,2.9%,Kevin Nichols,Parti Vert
Charleswood--St. James--Assiniboia--Headingley,46002,2842,6%,Tom Paulley,NPD-Nouveau Parti Démocratique
Charleswood--St. James--Assiniboia--Headingley,46002,18408,39%,Steven Fletcher,Conservateur
Charleswood--St. James--Assiniboia--Headingley,46002,24531,52%,Doug Eyolfson,Libéral
Churchill--Keewatinook Aski,46003,255,0.9%,Zachary Linnick,Libertarien
Churchill--Keewatinook Aski,46003,537,1.8%,August Hastmann,Parti Vert
Churchill--Keewatinook Aski,46003,3090,10.3%,Kyle G. Mirecki,Conservateur
Churchill--Keewatinook Aski,46003,12575,42%,Rebecca Chartrand,Libéral
Churchill--Keewatinook Aski,46003,13487,45%,Niki Ashton,NPD-Nouveau Parti Démocratique
Dauphin--Swan River--Neepawa,46004,1592,3.8%,Kate Storey,Parti Vert
Dauphin--Swan River--Neepawa,46004,3357,8.1%,Inky Mark,Indépendant
Dauphin--Swan River--Neepawa,46004,5097,12.3%,Laverne M. Lewycky,NPD-Nouveau Parti Démocratique
Dauphin--Swan River--Neepawa,46004,12276,29.5%,Ray Piché,Libéral
Dauphin--Swan River--Neepawa,46004,19276,46.3%,Robert Sopuck,Conservateur
Elmwood--Transcona,46005,1016,2.4%,Kim Parke,Parti Vert
Elmwood--Transcona,46005,12713,29.5%,Andrea Richardson-Lipon,Libéral
Elmwood--Transcona,46005,14648,34%,Lawrence Toet,Conservateur
Elmwood--Transcona,46005,14709,34.1%,Daniel Blaikie,NPD-Nouveau Parti Démocratique
Kildonan--St. Paul,46006,142,0.3%,Eduard Walter Hiebert,Indépendant
Kildonan--St. Paul,46006,485,1.1%,David Reimer,Parti de l'Héritage Chrétien
Kildonan--St. Paul,46006,783,1.8%,Steven Stairs,Parti Vert
Kildonan--St. Paul,46006,6270,14.3%,Suzanne Hrynyk,NPD-Nouveau Parti Démocratique
Kildonan--St. Paul,46006,17478,39.8%,Jim Bell,Conservateur
Kildonan--St. Paul,46006,18717,42.7%,MaryAnn Mihychuk,Libéral
Portage--Lisgar,46007,1315,3.2%,Jerome Dondo,Parti de l'Héritage Chrétien
Portage--Lisgar,46007,1637,4%,Beverley Eert,Parti Vert
Portage--Lisgar,46007,2554,6.2%,Dean Harder,NPD-Nouveau Parti Démocratique
Portage--Lisgar,46007,10621,25.8%,Ken Werbiski,Libéral
Portage--Lisgar,46007,25060,60.8%,Candice Bergen,Conservateur
Provencher,46008,1779,4%,Jeff Wheeldon,Parti Vert
Provencher,46008,2371,5.3%,Les Lilley,NPD-Nouveau Parti Démocratique
Provencher,46008,15509,34.7%,Terry Hayward,Libéral
Provencher,46008,25086,56.1%,Ted Falk,Conservateur
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,46009,1119,2.3%,Glenn Zaretski,Parti Vert
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,46009,5169,10.6%,Erin Selby,NPD-Nouveau Parti Démocratique
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,46009,14005,28.7%,François Catellier,Conservateur
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,46009,28530,58.4%,Dan Vandal,Libéral
Selkirk--Interlake--Eastman,46010,882,1.8%,Donald L. Grant,Libertarien
Selkirk--Interlake--Eastman,46010,1707,3.5%,Wayne James,Parti Vert
Selkirk--Interlake--Eastman,46010,5649,11.4%,Deborah Chief,NPD-Nouveau Parti Démocratique
Selkirk--Interlake--Eastman,46010,15508,31.4%,Joanne Levy,Libéral
Selkirk--Interlake--Eastman,46010,25617,51.9%,James Bezan,Conservateur
Winnipeg Centre/Winnipeg-Centre,46011,135,0.4%,Darrell Rankin,Communiste
Winnipeg Centre/Winnipeg-Centre,46011,221,0.7%,Scott Miller,Parti de l'Héritage Chrétien
Winnipeg Centre/Winnipeg-Centre,46011,1379,4.1%,Don Woodstock,Parti Vert
Winnipeg Centre/Winnipeg-Centre,46011,4189,12.4%,Allie Szarkiewicz,Conservateur
Winnipeg Centre/Winnipeg-Centre,46011,9490,28%,Pat Martin,NPD-Nouveau Parti Démocratique
Winnipeg Centre/Winnipeg-Centre,46011,18471,54.5%,Robert-Falcon Ouellette,Libéral
Winnipeg North/Winnipeg-Nord,46012,826,2.4%,John Redekopp,Parti Vert
Winnipeg North/Winnipeg-Nord,46012,4543,13.4%,Levy Abad,NPD-Nouveau Parti Démocratique
Winnipeg North/Winnipeg-Nord,46012,5193,15.3%,Harpreet Turka,Conservateur
Winnipeg North/Winnipeg-Nord,46012,23402,68.9%,Kevin Lamoureux,Libéral
Winnipeg South/Winnipeg-Sud,46013,990,2.1%,Adam Smith,Parti Vert
Winnipeg South/Winnipeg-Sud,46013,2404,5%,Brianne Goertzen,NPD-Nouveau Parti Démocratique
Winnipeg South/Winnipeg-Sud,46013,16709,34.7%,Gordon Giesbrecht,Conservateur
Winnipeg South/Winnipeg-Sud,46013,28096,58.3%,Terry Duguid,Libéral
Winnipeg South Centre/Winnipeg-Centre-Sud,46014,1677,3.1%,Andrew Park,Parti Vert
Winnipeg South Centre/Winnipeg-Centre-Sud,46014,4799,9%,Matt Henderson,NPD-Nouveau Parti Démocratique
Winnipeg South Centre/Winnipeg-Centre-Sud,46014,15102,28.2%,Joyce Bateman,Conservateur
Winnipeg South Centre/Winnipeg-Centre-Sud,46014,31993,59.7%,Jim Carr,Libéral
Battlefords--Lloydminster,47001,575,1.7%,Mikaela Tenkink,Parti Vert
Battlefords--Lloydminster,47001,1076,3.2%,Doug Anguish,Indépendant
Battlefords--Lloydminster,47001,5550,16.5%,Larry Ingram,Libéral
Battlefords--Lloydminster,47001,5930,17.6%,Glenn Tait,NPD-Nouveau Parti Démocratique
Battlefords--Lloydminster,47001,20547,61%,Gerry Ritz,Conservateur
Cypress Hills--Grasslands,47002,993,2.7%,William Caton,Parti Vert
Cypress Hills--Grasslands,47002,4783,13.2%,Trevor Peterson,NPD-Nouveau Parti Démocratique
Cypress Hills--Grasslands,47002,5381,14.9%,Marvin Wiens,Libéral
Cypress Hills--Grasslands,47002,25050,69.2%,David Anderson,Conservateur
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,552,1.8%,Warren Koch,Parti Vert
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,9105,30.1%,Rob Clarke,Conservateur
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,10237,33.9%,Lawrence Joseph,Libéral
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,10319,34.2%,Georgina Jolibois,NPD-Nouveau Parti Démocratique
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,47004,902,2.2%,Lynn Wesley Oliphant,Parti Vert
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,47004,5774,14.4%,Alexander Slusar,Libéral
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,47004,7499,18.7%,Glenn Wright,NPD-Nouveau Parti Démocratique
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,47004,26004,64.7%,Kelly Block,Conservateur
Moose Jaw--Lake Centre--Lanigan,47005,208,0.5%,Robert Thomas,Rhinocéros
Moose Jaw--Lake Centre--Lanigan,47005,961,2.3%,Shawn Setyo,Parti Vert
Moose Jaw--Lake Centre--Lanigan,47005,7545,18%,Perry Juttla,Libéral
Moose Jaw--Lake Centre--Lanigan,47005,9978,23.8%,Dustan Hlady,NPD-Nouveau Parti Démocratique
Moose Jaw--Lake Centre--Lanigan,47005,23273,55.5%,Tom Lukiwski,Conservateur
Prince Albert,47006,761,1.9%,Byron Tenkink,Parti Vert
Prince Albert,47006,7832,19.8%,Gordon Kirkby,Libéral
Prince Albert,47006,11244,28.5%,Lon Borgerson,NPD-Nouveau Parti Démocratique
Prince Albert,47006,19673,49.8%,Randy Hoback,Conservateur
